event,tabId,title,ts,url,winId,data.action,data.fields[0].name,data.fields[0].value,data.fields[1].name,data.fields[1].value,data.fields[2].name,data.fields[2].value,data.fields[3].name,data.fields[3].value,data.fields[4].name,data.fields[4].value,data.fields[5].name,data.fields[5].value,data.formSelector,data.method,data.pageHeader,data.title,data.ariaLabel,data.bbox.h,data.bbox.w,data.bbox.x,data.bbox.y,data.class,data.id,data.innerText,data.labelText,data.mouse.alt,data.mouse.button,data.mouse.clientX,data.mouse.clientY,data.mouse.ctrl,data.mouse.meta,data.mouse.shift,data.outerHTML,data.parentForm,data.role,data.selector,data.tag,data.visible,data.name,tabCount,data.type,data.checked,data.disabled,data.parentForm.action,data.parentForm.method,data.parentForm.selector,data.placeholder,data.value,data.alt,data.code,data.ctrl,data.key,data.meta,data.sensitive,data.shift,data.target,data.length,data.redacted,data.sample,data.fieldsData,isWindowClosing
tab_activated,581319089,New tab,2025-08-22T09:27:19.294Z,,581319025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tab_url_changed,581319089,New tab,2025-08-22T09:27:19.464Z,edge://newtab/,581319025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tab_complete,581319089,New tab,2025-08-22T09:27:21.465Z,edge://newtab/,581319025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tab_activated,581319093,,2025-08-22T09:27:21.744Z,,581319025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tab_url_changed,581319093,flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,2025-08-22T09:27:22.352Z,https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,581319025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tab_complete,581319093,"Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!",2025-08-22T09:27:23.546Z,https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,581319025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_submit,581319093,,2025-08-22T09:27:27.721Z,https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,581319025,https://www.flipkart.com/search,q,,otracker,search,otracker1,search,marketplace,FLIPKART,as-show,off,as,off,form._2rslOn.header-form-search,get,Flipkart: The One-stop Shopping Destination,"Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_submit,581319093,,2025-08-22T09:27:35.679Z,https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,581319025,https://www.flipkart.com/search,q,,otracker,search,otracker1,search,marketplace,FLIPKART,as-show,off,as,off,form._2rslOn.header-form-search,get,Flipkart: The One-stop Shopping Destination,"Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_submit,581319093,,2025-08-22T09:27:37.153Z,https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,581319025,https://www.flipkart.com/search,q,,otracker,search,otracker1,search,marketplace,FLIPKART,as-show,off,as,off,form._2rslOn.header-form-search,get,Flipkart: The One-stop Shopping Destination,"Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_submit,581319093,,2025-08-22T09:27:38.161Z,https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,581319025,https://www.flipkart.com/search,q,,otracker,search,otracker1,search,marketplace,FLIPKART,as-show,off,as,off,form._2rslOn.header-form-search,get,Flipkart: The One-stop Shopping Destination,"Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
